BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,STOCK_SELL_VALUE,CURRENCY,DATE,Quantity_KT_Inventory
2024-03-31,CHINA-WAREHOUSE,MAT-0323,P4196A,10767,CNY,2024-03-31,0.001425
2024-03-31,CHINA-WAREHOUSE,MAT-0323,P9069A,783660,CNY,2024-03-31,0.111
2024-03-31,CHINA-WAREHOUSE,MAT-0323,P7298A,706,CNY,2024-03-31,0.0
2024-03-31,CHINA-WAREHOUSE,MAT-0323,P7500A,360060,CNY,2024-03-31,0.051
2024-03-31,CHINA-WAREHOUSE,MAT-0323,P1532A,169440,CNY,2024-03-31,0.024
2024-03-31,CHINA-WAREHOUSE,MAT-0323,P6351A,540090,CNY,2024-03-31,0.0764
2024-03-31,CHINA-WAREHOUSE,MAT-0056,1694A,548756,CNY,2024-03-31,0.098875
2024-03-31,CHINA-WAREHOUSE,MAT-0056,9694A,136946,CNY,2024-03-31,0.024675
2024-03-31,CHINA-WAREHOUSE,MAT-0056,5319A,518509,CNY,2024-03-31,0.093425
2024-03-31,CHINA-WAREHOUSE,MAT-0056,9223A,632145,CNY,2024-03-31,0.1139
2024-03-31,CHINA-WAREHOUSE,MAT-0056,3794A,5828,CNY,2024-03-31,0.00105
2024-03-31,CHINA-WAREHOUSE,MAT-0056,1426A,389194,CNY,2024-03-31,0.070125
2024-03-31,CHINA-WAREHOUSE,MAT-0056,6884A,297619,CNY,2024-03-31,0.053625
2024-03-31,CHINA-WAREHOUSE,MAT-0056,5535A,686258,CNY,2024-03-31,0.12365
2024-03-31,CHINA-WAREHOUSE,MAT-0387,6043B,0,CNY,2024-03-31,0.00195
2024-03-31,CHINA-WAREHOUSE,MAT-0387,6175B,0,CNY,2024-03-31,0.01885
2024-03-31,CHINA-WAREHOUSE,MAT-0206,V4935A,6015,CNY,2024-03-31,0.000375
2024-03-31,CHINA-WAREHOUSE,MAT-0206,V6782A,2522691,CNY,2024-03-31,0.157275
2024-03-31,CHINA-WAREHOUSE,MAT-0206,V9179A,340850,CNY,2024-03-31,0.02125
2024-03-31,CHINA-WAREHOUSE,MAT-0206,V6548A,1199792,CNY,2024-03-31,0.0748
2024-03-31,CHINA-WAREHOUSE,MAT-0206,V2597A,2002995,CNY,2024-03-31,0.124875
2024-03-31,CHINA-WAREHOUSE,MAT-0324,V7662A,5772,CNY,2024-03-31,0.000425
2024-03-31,CHINA-WAREHOUSE,MAT-0324,V7598A,66203,CNY,2024-03-31,0.004875
2024-03-31,CHINA-WAREHOUSE,MAT-0324,V6452A,1728395,CNY,2024-03-31,0.127275
2024-03-31,CHINA-WAREHOUSE,MAT-0324,V7863A,2527238,CNY,2024-03-31,0.1861
2024-03-31,CHINA-WAREHOUSE,MAT-0324,V5307A,2764209,CNY,2024-03-31,0.20355
2024-03-31,CHINA-WAREHOUSE,MAT-0084,S9394A,2473,CNY,2024-03-31,0.000575
2024-03-31,CHINA-WAREHOUSE,MAT-0084,S2733A,1280540,CNY,2024-03-31,0.2978
2024-03-31,CHINA-WAREHOUSE,MAT-0084,S1228A,2255780,CNY,2024-03-31,0.5246
2024-03-31,CHINA-WAREHOUSE,MAT-0084,S4159A,638120,CNY,2024-03-31,0.1484
2024-03-31,CHINA-WAREHOUSE,MAT-0318,R9214A,4193,CNY,2024-03-31,0.000975
2024-03-31,CHINA-WAREHOUSE,MAT-0318,S2436A,323,CNY,2024-03-31,7.5e-05
2024-03-31,CHINA-WAREHOUSE,MAT-0318,S9670A,1808580,CNY,2024-03-31,0.4206
2024-03-31,CHINA-WAREHOUSE,MAT-0318,S2889A,1276563,CNY,2024-03-31,0.296875
2024-03-31,CHINA-WAREHOUSE,MAT-0325,E9454A,451,CNY,2024-03-31,0.0001
2024-03-31,CHINA-WAREHOUSE,MAT-0325,E2304A,42281,CNY,2024-03-31,0.009375
2024-03-31,CHINA-WAREHOUSE,MAT-0325,E2801A,669735,CNY,2024-03-31,0.1485
2024-03-31,CHINA-WAREHOUSE,MAT-0325,E9560A,669510,CNY,2024-03-31,0.14845
2024-03-31,CHINA-WAREHOUSE,MAT-0325,E3362A,464756,CNY,2024-03-31,0.10305
2024-03-31,CHINA-WAREHOUSE,MAT-0325,E1952A,204641,CNY,2024-03-31,0.045375
2024-03-31,CHINA-WAREHOUSE,MAT-0416,E2278A,105906,CNY,2024-03-31,0.023225
2024-03-31,CHINA-WAREHOUSE,MAT-0416,E4145A,229254,CNY,2024-03-31,0.025525
2024-03-31,CHINA-WAREHOUSE,MAT-0416,E5306A,920892,CNY,2024-03-31,0.20195
2024-03-31,CHINA-WAREHOUSE,MAT-0416,E5995A,1353294,CNY,2024-03-31,0.296775
2024-03-31,CHINA-WAREHOUSE,MAT-0326,M1036A,116519,CNY,2024-03-31,0.042525
2024-03-31,CHINA-WAREHOUSE,MAT-0326,M9936A,112203,CNY,2024-03-31,0.04095
2024-03-31,CHINA-WAREHOUSE,MAT-0014,SCRAP,428,CNY,2024-03-31,0.00016
2024-03-31,CHINA-WAREHOUSE,MAT-0151,R4687A,9020,CNY,2024-03-31,0.002
2024-03-31,CHINA-WAREHOUSE,MAT-0151,R9913A,650906,CNY,2024-03-31,0.144325
2024-03-31,CHINA-WAREHOUSE,MAT-0151,R6876A,594982,CNY,2024-03-31,0.131925
2024-03-31,CHINA-WAREHOUSE,MAT-0151,R4779A,74415,CNY,2024-03-31,0.0165
2024-03-31,CHINA-WAREHOUSE,MAT-0428,R7762A,744150,CNY,2024-03-31,0.165
2024-03-31,CHINA-WAREHOUSE,MAT-0428,R7924A,877984,CNY,2024-03-31,0.194675
2024-03-31,CHINA-WAREHOUSE,MAT-0428,R3390A,210843,CNY,2024-03-31,0.04675
2024-03-31,CHINA-WAREHOUSE,MAT-0428,R4624A,458667,CNY,2024-03-31,0.1017
2024-03-31,CHINA-WAREHOUSE,MAT-0015,R1353A,3721,CNY,2024-03-31,0.000825
2024-03-31,CHINA-WAREHOUSE,MAT-0015,R7302A,1195376,CNY,2024-03-31,0.26505
2024-03-31,CHINA-WAREHOUSE,MAT-0015,R8859A,247825,CNY,2024-03-31,0.05495
2024-03-31,CHINA-WAREHOUSE,MAT-0015,R6289A,2202346,CNY,2024-03-31,0.488325
2024-03-31,CHINA-WAREHOUSE,MAT-0015,R4544A,874376,CNY,2024-03-31,0.169125
2024-03-31,CHINA-WAREHOUSE,MAT-0015,S3806A,97980,CNY,2024-03-31,0.021725
2024-03-31,CHINA-WAREHOUSE,MAT-0015,S4758A,106549,CNY,2024-03-31,0.023625
2024-03-31,CHINA-WAREHOUSE,MAT-0015,S7448A,563863,CNY,2024-03-31,0.0
2024-03-31,CHINA-WAREHOUSE,MAT-0015,S4916A,223245,CNY,2024-03-31,0.0
2024-03-31,CHINA-WAREHOUSE,MAT-0279,SCRAP,9003,CNY,2024-03-31,0.005204
2024-03-31,CHINA-WAREHOUSE,MAT-0294,SCRAP,0,CNY,2024-03-31,0.001199
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M5973A,3273,CNY,2024-03-31,0.000875
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M6379B,15428,CNY,2024-03-31,0.004125
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M9336A,92565,CNY,2024-03-31,0.02475
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M4807B,97708,CNY,2024-03-31,0.026125
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M4250A,75548,CNY,2024-03-31,0.0202
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M5685B,102850,CNY,2024-03-31,0.0275
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M7282A,77138,CNY,2024-03-31,0.020625
2024-03-31,CHINA-WAREHOUSE,MAT-0327,M8181A,107993,CNY,2024-03-31,0.004125
2024-03-31,CHINA-WAREHOUSE,MAT-0356,M7505B,56568,CNY,2024-03-31,0.015125
2024-03-31,CHINA-WAREHOUSE,MAT-0356,M1793C,35998,CNY,2024-03-31,0.009625
2024-03-31,CHINA-WAREHOUSE,MAT-0356,M2314B,92285,CNY,2024-03-31,0.024675
2024-03-31,CHINA-WAREHOUSE,MAT-0356,M1932A,1590,CNY,2024-03-31,0.000425
2024-03-31,CHINA-WAREHOUSE,MAT-0356,M1571A,35904,CNY,2024-03-31,0.0096
2024-03-31,CHINA-WAREHOUSE,MAT-0328,V5279A,1231571,CNY,2024-03-31,0.130325
2024-03-31,CHINA-WAREHOUSE,MAT-0328,V4912A,3301121,CNY,2024-03-31,0.349325
2024-03-31,CHINA-WAREHOUSE,MAT-0328,V6674A,2579141,CNY,2024-03-31,0.272925
2024-03-31,CHINA-WAREHOUSE,MAT-0328,V7846A,2238469,CNY,2024-03-31,0.236875
2024-03-31,CHINA-WAREHOUSE,MAT-0270,V7805A,1914,CNY,2024-03-31,0.0002
2024-03-31,CHINA-WAREHOUSE,MAT-0270,V2994A,13159,CNY,2024-03-31,0.001375
2024-03-31,CHINA-WAREHOUSE,MAT-0270,V5370A,400983,CNY,2024-03-31,0.0419
2024-03-31,CHINA-WAREHOUSE,MAT-0270,V9115A,3902407,CNY,2024-03-31,0.407775
2024-03-31,CHINA-WAREHOUSE,MAT-0111,4986A6798,6728,CNY,2024-03-31,0.001125
2024-03-31,CHINA-WAREHOUSE,MAT-0111,8943A1500,115115,CNY,2024-03-31,0.01925
2024-03-31,CHINA-WAREHOUSE,MAT-0111,4031A5952,222008,CNY,2024-03-31,0.037125
2024-03-31,CHINA-WAREHOUSE,MAT-0111,2605A8571,378235,CNY,2024-03-31,0.06325
2024-03-31,CHINA-WAREHOUSE,MAT-0111,4168A7451,271044,CNY,2024-03-31,0.045325
2024-03-31,CHINA-WAREHOUSE,MAT-0111,3763A8022,164450,CNY,2024-03-31,0.0275
2024-03-31,CHINA-WAREHOUSE,MAT-0111,9289A2933,156228,CNY,2024-03-31,0.026125
2024-03-31,CHINA-WAREHOUSE,MAT-0352,2836G1716QDA,13689,CNY,2024-03-31,0.002025
2024-03-31,CHINA-WAREHOUSE,MAT-0352,8918G7063QAC,102245,CNY,2024-03-31,0.015125
2024-03-31,CHINA-WAREHOUSE,MAT-0329,8219E2072QAC,164268,CNY,2024-03-31,0.0243
2024-03-31,CHINA-WAREHOUSE,MAT-0330,5045F1981QCE,164099,CNY,2024-03-31,0.024275
2024-03-31,CHINA-WAREHOUSE,MAT-0160,H6435A,22901,CNY,2024-03-31,0.0001
2024-03-31,CHINA-WAREHOUSE,MAT-0152,M1002B,0,CNY,2024-03-31,0.04095
2024-03-31,CHINA-WAREHOUSE,MAT-0381,S4759A,222343,CNY,2024-03-31,0.0493
2024-03-31,CHINA-WAREHOUSE,MAT-0137,R1653A,61562,CNY,2024-03-31,0.01365
2024-03-31,CHINA-WAREHOUSE,MAT-0137,R7368A,557662,CNY,2024-03-31,0.12365
2024-03-31,CHINA-WAREHOUSE,MAT-0137,R1358A,669397,CNY,2024-03-31,0.148425
2024-03-31,CHINA-WAREHOUSE,MAT-0137,S6786A,113,CNY,2024-03-31,2.5e-05
2024-03-31,CHINA-WAREHOUSE,MAT-0234,5950A7479,5500,CNY,2024-03-31,0.00275
2024-03-31,CHINA-WAREHOUSE,MAT-0234,2094A8341,19250,CNY,2024-03-31,0.009625
2024-03-31,CHINA-WAREHOUSE,MAT-0234,5765A3014,19250,CNY,2024-03-31,0.009625
2024-03-31,CHINA-WAREHOUSE,MAT-0234,7126A7354,63250,CNY,2024-03-31,0.031625
2024-03-31,CHINA-WAREHOUSE,MAT-0234,3381A2056,63250,CNY,2024-03-31,0.031625
2024-03-31,CHINA-WAREHOUSE,MAT-0234,7363A2227,153900,CNY,2024-03-31,0.07695
2024-03-31,CHINA-WAREHOUSE,MAT-0234,6826A1490,22000,CNY,2024-03-31,0.011
2024-03-31,CHINA-WAREHOUSE,MAT-0234,6803A8892,35750,CNY,2024-03-31,0.017875
2024-03-31,CHINA-WAREHOUSE,MAT-0234,6882A2720,107050,CNY,2024-03-31,0.053525
2024-03-31,CHINA-WAREHOUSE,MAT-0234,6517A3139,167400,CNY,2024-03-31,0.0837
2024-03-31,CHINA-WAREHOUSE,MAT-0234,1962A6152,13750,CNY,2024-03-31,0.006875
2024-03-31,CHINA-WAREHOUSE,MAT-0234,6457A7438,2750,CNY,2024-03-31,0.001375
2024-03-31,CHINA-WAREHOUSE,MAT-0234,2448A3125,167750,CNY,2024-03-31,0.083875
2024-03-31,CHINA-WAREHOUSE,MAT-0234,1249A8354,41250,CNY,2024-03-31,0.020625
2024-03-31,CHINA-WAREHOUSE,MAT-0234,9224A8988,164850,CNY,2024-03-31,0.082425
2024-03-31,CHINA-WAREHOUSE,MAT-0234,1311A5830,112750,CNY,2024-03-31,0.056375
2024-03-31,CHINA-WAREHOUSE,MAT-0234,4745A4995,2750,CNY,2024-03-31,0.001375
2024-03-31,CHINA-WAREHOUSE,MAT-0234,4638A4587,44000,CNY,2024-03-31,0.022
2024-03-31,CHINA-WAREHOUSE,MAT-0234,9645A4711,167650,CNY,2024-03-31,0.083825
2024-03-31,CHINA-WAREHOUSE,MAT-0234,1966A4211,55000,CNY,2024-03-31,0.0275
2024-03-31,CHINA-WAREHOUSE,MAT-0234,3972A1747,2750,CNY,2024-03-31,0.001375
2024-03-31,CHINA-WAREHOUSE,MAT-0331,SCRAP,0,CNY,2024-03-31,1.2e-05
2024-03-31,CHINA-WAREHOUSE,MAT-0157,P5056A,0,CNY,2024-03-31,0.0001
2024-03-31,CHINA-WAREHOUSE,MAT-0157,P6032A,0,CNY,2024-03-31,0.0006
2024-03-31,CHINA-WAREHOUSE,MAT-0396,E4534A,486709,CNY,2024-03-31,0.064125
2024-03-31,CHINA-WAREHOUSE,MAT-0396,E2075A,322955,CNY,2024-03-31,0.04255
2024-03-31,CHINA-WAREHOUSE,MAT-0158,P2370A,5340,CNY,2024-03-31,0.00075
2024-03-31,CHINA-WAREHOUSE,MAT-0158,P8698A,405662,CNY,2024-03-31,0.056975
2024-03-31,CHINA-WAREHOUSE,MAT-0064,P9563A,990,CNY,2024-03-31,0.00025
2024-03-31,CHINA-WAREHOUSE,MAT-0235,V6102A,5844,CNY,2024-03-31,0.0003
2024-03-31,CHINA-WAREHOUSE,MAT-0177,1165,7693,CNY,2024-03-31,0.00245
2024-03-31,CHINA-WAREHOUSE,MAT-0229,5704B,103620,CNY,2024-03-31,0.033
2024-03-31,CHINA-WAREHOUSE,MAT-0229,2585A,250258,CNY,2024-03-31,0.0797
2024-03-31,CHINA-WAREHOUSE,MAT-0229,5668B,3533,CNY,2024-03-31,0.001125
2024-03-31,CHINA-WAREHOUSE,MAT-0229,4067B,25827,CNY,2024-03-31,0.008225
2024-03-31,CHINA-WAREHOUSE,MAT-0388,E9850A,375705,CNY,2024-03-31,0.0495
2024-03-31,CHINA-WAREHOUSE,MAT-0388,E8631A,1127115,CNY,2024-03-31,0.1485
2024-03-31,CHINA-WAREHOUSE,MAT-0057,S9024A,125804,CNY,2024-03-31,0.016575
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V1015A,10251,CNY,2024-03-31,0.0009
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V3661A,15661,CNY,2024-03-31,0.001375
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V7744A,15661,CNY,2024-03-31,0.001375
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V1139A,15946,CNY,2024-03-31,0.0014
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V3758A,324615,CNY,2024-03-31,0.0285
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V8412A,4100400,CNY,2024-03-31,0.36
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V4732A,3655336,CNY,2024-03-31,0.320925
2024-03-31,CHINA-WAREHOUSE,MAT-0389,V5253A,2408416,CNY,2024-03-31,0.21145
2024-03-31,CHINA-WAREHOUSE,MAT-0102,V6100A,0,CNY,2024-03-31,0.0247
2024-03-31,CHINA-WAREHOUSE,MAT-0159,V8634A,927894,CNY,2024-03-31,0.062025
2024-03-31,CHINA-WAREHOUSE,MAT-0159,V8003A,2602666,CNY,2024-03-31,0.173975
2024-03-31,CHINA-WAREHOUSE,MAT-0271,8428A2431,0,CNY,2024-03-31,0.0006
2024-03-31,CHINA-WAREHOUSE,MAT-0338,L4158A,1683,CNY,2024-03-31,0.000425
2024-03-31,CHINA-WAREHOUSE,MAT-0338,L2737A,41580,CNY,2024-03-31,0.0105
2024-03-31,CHINA-WAREHOUSE,MAT-0214,2321A,32150,CNY,2024-03-31,0.005
2024-03-31,CHINA-WAREHOUSE,MAT-0214,SCRAP,161,CNY,2024-03-31,2.5e-05
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M3249B,456,CNY,2024-03-31,0.0001
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M5922B,75240,CNY,2024-03-31,0.0165
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M4269C,244302,CNY,2024-03-31,0.053575
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M2074A,106590,CNY,2024-03-31,0.023375
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M3491A,269610,CNY,2024-03-31,0.059125
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M1110B,143868,CNY,2024-03-31,0.03155
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M2736B,382128,CNY,2024-03-31,0.0838
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M8543A,294690,CNY,2024-03-31,0.064625
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M3654C,294462,CNY,2024-03-31,0.064575
2024-03-31,CHINA-WAREHOUSE,MAT-0390,M5982B,332082,CNY,2024-03-31,0.072825
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M8618C,25080,CNY,2024-03-31,0.0055
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M6483B,2166,CNY,2024-03-31,0.000475
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M7951A,62700,CNY,2024-03-31,0.01375
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M6845A,43890,CNY,2024-03-31,0.009625
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M7892B,131442,CNY,2024-03-31,0.028825
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M3908C,350778,CNY,2024-03-31,0.076925
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M3299A,87780,CNY,2024-03-31,0.01925
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M1475A,68970,CNY,2024-03-31,0.015125
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M7400B,37620,CNY,2024-03-31,0.00825
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M3280A,269268,CNY,2024-03-31,0.05905
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M4134B,194142,CNY,2024-03-31,0.042575
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M3709B,163020,CNY,2024-03-31,0.03575
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M1418B,344508,CNY,2024-03-31,0.07555
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M4310C,344850,CNY,2024-03-31,0.075625
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M1666A,344850,CNY,2024-03-31,0.075625
2024-03-31,CHINA-WAREHOUSE,MAT-0112,M1794B,150480,CNY,2024-03-31,0.033
2024-03-31,CHINA-WAREHOUSE,MAT-0113,M9219A,7370,CNY,2024-03-31,0.00275
2024-03-31,CHINA-WAREHOUSE,MAT-0113,M5165A,29480,CNY,2024-03-31,0.011
2024-03-31,CHINA-WAREHOUSE,MAT-0113,M1862B,40535,CNY,2024-03-31,0.015125
2024-03-31,CHINA-WAREHOUSE,MAT-0113,M9125A,151085,CNY,2024-03-31,0.056375
2024-03-31,CHINA-WAREHOUSE,MAT-0113,M7290A,178354,CNY,2024-03-31,0.06655
2024-03-31,CHINA-WAREHOUSE,MAT-0215,8639B,157120,CNY,2024-03-31,0.0491
2024-03-31,CHINA-WAREHOUSE,MAT-0215,3689A,26160,CNY,2024-03-31,0.008175
2024-03-31,CHINA-WAREHOUSE,MAT-0215,3837A,39600,CNY,2024-03-31,0.012375
2024-03-31,CHINA-WAREHOUSE,MAT-0215,1282A,39600,CNY,2024-03-31,0.012375
2024-03-31,CHINA-WAREHOUSE,MAT-0215,3349B,79040,CNY,2024-03-31,0.0247
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P4800D,5445,CNY,2024-03-31,0.001375
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P3148A,1188,CNY,2024-03-31,0.0003
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P9945A,5247,CNY,2024-03-31,0.001325
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P3808A,4356,CNY,2024-03-31,0.0011
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P2832A,23760,CNY,2024-03-31,0.006
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P9566A,65340,CNY,2024-03-31,0.0165
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P4331A,1247202,CNY,2024-03-31,0.31495
2024-03-31,CHINA-WAREHOUSE,MAT-0032,P2314A,605484,CNY,2024-03-31,0.1529
2024-03-31,CHINA-WAREHOUSE,MAT-0114,L4708A,370755,CNY,2024-03-31,0.093625
2024-03-31,CHINA-WAREHOUSE,MAT-0178,P7281A,304623,CNY,2024-03-31,0.076925
2024-03-31,CHINA-WAREHOUSE,MAT-0065,3602A,106400,CNY,2024-03-31,0.03985
2024-03-31,CHINA-WAREHOUSE,MAT-0065,1292A,117680,CNY,2024-03-31,0.044075
2024-03-31,CHINA-WAREHOUSE,MAT-0065,5488A,53400,CNY,2024-03-31,0.02
2024-03-31,CHINA-WAREHOUSE,MAT-0065,4233A,7343,CNY,2024-03-31,0.00275
2024-03-31,CHINA-WAREHOUSE,MAT-0065,8470G,18356,CNY,2024-03-31,0.006875
2024-03-31,CHINA-WAREHOUSE,MAT-0065,7556I,117213,CNY,2024-03-31,0.0439
2024-03-31,CHINA-WAREHOUSE,MAT-0065,3931E,58607,CNY,2024-03-31,0.02195
2024-03-31,CHINA-WAREHOUSE,MAT-0065,2888F,128294,CNY,2024-03-31,0.04805
2024-03-31,CHINA-WAREHOUSE,MAT-0065,6042G,126692,CNY,2024-03-31,0.04745
2024-03-31,CHINA-WAREHOUSE,MAT-0065,2905A,172349,CNY,2024-03-31,0.06455
2024-03-31,CHINA-WAREHOUSE,MAT-0065,7794A,10880,CNY,2024-03-31,0.004075
2024-03-31,CHINA-WAREHOUSE,MAT-0065,1873A,58740,CNY,2024-03-31,0.022
2024-03-31,CHINA-WAREHOUSE,MAT-0065,6433A,223746,CNY,2024-03-31,0.0838
2024-03-31,CHINA-WAREHOUSE,MAT-0065,8975A,29370,CNY,2024-03-31,0.011
2024-03-31,CHINA-WAREHOUSE,MAT-0413,4195A,70043,CNY,2024-03-31,0.02475
2024-03-31,CHINA-WAREHOUSE,MAT-0413,7491A,31130,CNY,2024-03-31,0.011
2024-03-31,CHINA-WAREHOUSE,MAT-0413,6655A,54478,CNY,2024-03-31,0.01925
2024-03-31,CHINA-WAREHOUSE,MAT-0413,4723A,206944,CNY,2024-03-31,0.073125
2024-03-31,CHINA-WAREHOUSE,MAT-0413,5077A,132090,CNY,2024-03-31,0.046675
2024-03-31,CHINA-WAREHOUSE,MAT-0413,6957A,244866,CNY,2024-03-31,0.086525
2024-03-31,CHINA-WAREHOUSE,MAT-0413,7629A,73934,CNY,2024-03-31,0.026125
2024-03-31,CHINA-WAREHOUSE,MAT-0413,1764A,132303,CNY,2024-03-31,0.04675
2024-03-31,CHINA-WAREHOUSE,MAT-0413,9768A,186780,CNY,2024-03-31,0.066
2024-03-31,CHINA-WAREHOUSE,MAT-0413,6715A,58369,CNY,2024-03-31,0.020625
2024-03-31,CHINA-WAREHOUSE,MAT-0413,3041A,147726,CNY,2024-03-31,0.0522
2024-03-31,CHINA-WAREHOUSE,MAT-0413,6759A,225693,CNY,2024-03-31,0.07975
2024-03-31,CHINA-WAREHOUSE,MAT-0103,6929A,84910,CNY,2024-03-31,0.030325
2024-03-31,CHINA-WAREHOUSE,MAT-0397,P8066A,87714,CNY,2024-03-31,0.02215
2024-03-31,CHINA-WAREHOUSE,MAT-0397,P8121A,11484,CNY,2024-03-31,0.0029
2024-03-31,CHINA-WAREHOUSE,MAT-0180,M5666A,103530,CNY,2024-03-31,0.0
2024-03-31,CHINA-WAREHOUSE,MAT-0180,M8366C,25340,CNY,2024-03-31,0.0
2024-03-31,CHINA-WAREHOUSE,MAT-0429,V9006A,9138,CNY,2024-03-31,0.00085
2024-03-31,CHINA-WAREHOUSE,MAT-0332,5316A,512,CNY,2024-03-31,0.00055
2024-03-31,CHINA-WAREHOUSE,MAT-0332,9310A,46337,CNY,2024-03-31,0.049825
2024-03-31,CHINA-WAREHOUSE,MAT-0332,8619A,82514,CNY,2024-03-31,0.088725
2024-03-31,CHINA-WAREHOUSE,MAT-0332,3862A,92977,CNY,2024-03-31,0.099975
2024-03-31,CHINA-WAREHOUSE,MAT-0332,1241A,92954,CNY,2024-03-31,0.09995
2024-03-31,CHINA-WAREHOUSE,MAT-0332,2455A,90466,CNY,2024-03-31,0.097275
2024-03-31,CHINA-WAREHOUSE,MAT-0332,1279A,94116,CNY,2024-03-31,0.1012
2024-03-31,CHINA-WAREHOUSE,MAT-0332,2882A,33503,CNY,2024-03-31,0.036025
2024-03-31,CHINA-WAREHOUSE,MAT-0332,1135A,92954,CNY,2024-03-31,0.09995
2024-03-31,CHINA-WAREHOUSE,MAT-0332,9889A,95209,CNY,2024-03-31,0.102375
2024-03-31,CHINA-WAREHOUSE,MAT-0332,2395A,86002,CNY,2024-03-31,0.092475
2024-03-31,CHINA-WAREHOUSE,MAT-0332,9988A,92884,CNY,2024-03-31,0.099875
2024-03-31,CHINA-WAREHOUSE,MAT-0332,6769A,535,CNY,2024-03-31,0.000575
2024-03-31,CHINA-WAREHOUSE,MAT-0332,3280A,94093,CNY,2024-03-31,0.101175
2024-03-31,CHINA-WAREHOUSE,MAT-0332,4587A,1116,CNY,2024-03-31,0.0012
2024-03-31,CHINA-WAREHOUSE,MAT-0332,3146A,1163,CNY,2024-03-31,0.00125
2024-03-31,CHINA-WAREHOUSE,MAT-0332,8147A,52313,CNY,2024-03-31,0.05625
2024-03-31,CHINA-WAREHOUSE,MAT-0332,9261A,93000,CNY,2024-03-31,0.1
2024-03-31,CHINA-WAREHOUSE,MAT-0332,7309A,90629,CNY,2024-03-31,0.09745
2024-03-31,CHINA-WAREHOUSE,MAT-0332,2616A,73214,CNY,2024-03-31,0.078725
2024-03-31,CHINA-WAREHOUSE,MAT-0332,5074A,22088,CNY,2024-03-31,0.02375
2024-03-31,CHINA-WAREHOUSE,MAT-0332,7822A,1139,CNY,2024-03-31,0.001225
2024-03-31,CHINA-WAREHOUSE,MAT-0332,7274A,2325,CNY,2024-03-31,0.0025
2024-03-31,CHINA-WAREHOUSE,MAT-0050,S9403A,118049,CNY,2024-03-31,0.026175
2024-03-31,CHINA-WAREHOUSE,MAT-0050,S2115A,892642,CNY,2024-03-31,0.197925
2024-03-31,CHINA-WAREHOUSE,MAT-0236,S2867A,74753,CNY,2024-03-31,0.016575
2024-03-31,CHINA-WAREHOUSE,MAT-0236,S4960B,338588,CNY,2024-03-31,0.075075
2024-03-31,CHINA-WAREHOUSE,MAT-0333,4779A,23025,CNY,2024-03-31,0.0
2024-03-31,CHINA-WAREHOUSE,MAT-0333,1933A,690750,CNY,2024-03-31,0.0375
2024-03-31,CHINA-WAREHOUSE,MAT-0333,6303A,363335,CNY,2024-03-31,0.0
2024-03-31,CHINA-WAREHOUSE,MAT-0333,7877A,725748,CNY,2024-03-31,0.0
